Hole ID,From,To,Lithology,2nd lithology,comment,Valid_Lith,fine_coarse,Sequence_Strat
IP-17,30,37,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-16,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-16,6,11,Sand,NA,NA,Sand,Coarse,Sand II
IP-16,11,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-16,20,33,Sand,NA,NA,Sand,Coarse,Sand I
IP-16,33,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-16,40,41,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-15,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-15,6,14,Sand,NA,NA,Sand,Coarse,Sand II
IP-15,14,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-15,20,30,Clay,NA,NA,Clay,Fine,Clay I
IP-15,30,34,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-15,34,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-15,40,41,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-14,0,4,Clay,NA,NA,Clay,Fine,Clay II
IP-14,4,10,Sand,NA,NA,Sand,Coarse,Sand II
IP-14,10,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-14,20,31,Clay,NA,NA,Clay,Fine,Clay I
IP-14,31,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-14,40,41,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-13,0,3,Clay,NA,NA,Clay,Fine,Clay II
IP-13,3,10,Sand,NA,NA,Sand,Coarse,Sand II
IP-13,10,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-13,20,31,Clay,NA,NA,Clay,Fine,Clay I
IP-13,31,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-13,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-12,0,3,Clay,NA,NA,Clay,Fine,Clay II
IP-12,3,10,Sand,NA,NA,Sand,Coarse,Sand II
IP-12,10,18,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-12,18,31,Clay,NA,NA,Clay,Fine,Clay I
IP-12,31,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-12,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-11,0,3,Clay,NA,NA,Clay,Fine,Clay II
IP-11,3,7,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-11,7,8,Clay,NA,NA,Clay,Fine,Clayey Sand IV
IP-11,8,10,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-11,10,16,Sand,NA,NA,Sand,Coarse,Sand II
IP-11,16,20,Clay,NA,NA,Clay,Fine,Clayey Sand III
IP-11,20,24,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-11,24,32,Clay,NA,NA,Clay,Fine,Clay I
IP-11,32,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-11,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-10,0,5,Clay,NA,NA,Clay,Fine,Clay II
IP-10,5,10,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-10,10,17,Sand,NA,NA,Sand,Coarse,Sand II
IP-10,17,33,Clay,NA,NA,Clay,Fine,Clay I
IP-10,33,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-10,40,41,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-09,0,3,Clay,NA,NA,Clay,Fine,Clay II
IP-09,3,8,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-09,8,12,Clay,NA,NA,Clay,Fine,Clay Ia
IP-09,12,18,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-09,18,30,Clay,NA,NA,Clay,Fine,Clay I
IP-09,30,34,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-09,34,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-09,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-08,0,2,Clay,NA,NA,Clay,Fine,Clay II
IP-08,2,9,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-08,9,12,Clay,NA,NA,Clay,Fine,Clay Ia
IP-08,12,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-08,20,30,Clay,NA,NA,Clay,Fine,Clay I
IP-08,30,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-08,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-07,0,5,Clay,NA,NA,Clay,Fine,Clay II
IP-07,5,18,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-07,18,30,Clay,NA,NA,Clay,Fine,Clay I
IP-07,30,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-07,40,44,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-07,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-06,0,7,Clay,NA,NA,Clay,Fine,Clay II
IP-06,7,14,Sand,NA,NA,Sand,Coarse,Sand II
IP-06,14,17,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-06,17,28,Clay,NA,NA,Clay,Fine,Clay I
IP-06,28,32,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-06,32,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-06,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-05,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-05,6,13,Sand,NA,NA,Sand,Coarse,Sand II
IP-05,13,17,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-05,17,28,Clay,NA,NA,Clay,Fine,Clay I
IP-05,28,32,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-05,32,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-05,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-04,0,2,Clay,NA,NA,Clay,Fine,Clay II
IP-04,2,13,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-04,13,16,Sand,NA,NA,Sand,Coarse,Sand II
IP-04,16,22,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-04,22,28,Clay,NA,NA,Clay,Fine,Clay I
IP-04,28,30,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-04,30,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-04,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-03,0,2,Clay,NA,NA,Clay,Fine,Clay II
IP-03,2,6,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-03,6,10,Sand,NA,NA,Sand,Coarse,Sand II
IP-03,10,16,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-03,16,18,Sand,NA,NA,Sand,Coarse,Clayey Sand III
IP-03,18,22,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-03,22,32,Clay,NA,NA,Clay,Fine,Clay I
IP-03,32,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-03,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-02,0,2,Clay,NA,NA,Clay,Fine,Clay II
