Hole ID,From,To,Lithology,2nd_lithology,comment
IP-26,0,7,Clay,NA,NA
IP-26,7,14,Clayey Sand,NA,NA
IP-26,14,18,Sand,NA,NA
IP-26,18,28,Clay,NA,NA
IP-26,28,42,Sand,NA,NA
IP-27,0,6,Clay,NA,NA
IP-27,6,11,Clayey Sand,NA,NA
IP-27,11,18,Sand,NA,NA
IP-27,18,23,Clayey Sand,NA,NA
IP-27,23,28,Clay,NA,NA
IP-27,28,32,Clayey Sand,NA,NA
IP-27,32,40,Sand,NA,NA
IP-28,0,4,Clay,NA,NA
IP-28,4,9,Sand,NA,NA
IP-28,9,19,Clayey Sand,NA,NA
IP-28,19,24,Clay,NA,NA
IP-28,24,28,Clayey Sand,NA,NA
IP-28,28,36,Sand,NA,NA
IP-29,0,8,Clay,NA,NA
IP-29,8,16,Sand,NA,NA
IP-29,16,22,Clay,NA,NA
IP-29,22,25,Clayey Sand,NA,NA
IP-29,25,40,Sand,NA,NA
IP-15,0,6,Clay,NA,NA
IP-15,6,14,Sand,NA,NA
IP-15,14,20,Clayey Sand,NA,NA
IP-15,20,30,Clay,NA,NA
IP-15,30,34,Clayey Sand,NA,NA
IP-15,34,40,Sand,NA,NA
IP-52,0,8,Clay,NA,NA
IP-52,8,10,Clayey Sand,NA,NA
IP-52,10,14,Sand,NA,NA
IP-52,14,18,Clayey Sand,NA,NA
IP-52,18,22,Sand,NA,NA
IP-52,22,32,Clayey Sand,NA,NA
IP-52,32,40,Clay,NA,NA
IP-52,40,44,Clayey Sand,NA,NA
IP-52,44,52,Sand,NA,NA
IP-49,0,8,Clay,NA,NA
IP-49,8,12,Clayey Sand,NA,NA
IP-49,12,22,Sand,NA,NA
IP-49,22,26,Clay,NA,NA
IP-49,26,32,Clay,NA,NA
IP-49,32,38,Clayey Sand,NA,NA
IP-49,38,44,Sand,NA,NA
IP-49,44,50,Clayey Sand,NA,NA
IP-51,0,6,Clay,NA,NA
IP-51,6,10,Clayey Sand,NA,NA
IP-51,10,20,Sand,NA,NA
IP-51,22,23,Clayey Sand,NA,NA
IP-51,23,28,Sand,NA,NA
IP-51,28,32,Clayey Sand,NA,NA
IP-51,32,36,Sand,NA,NA
IP-51,36,42,Clay,NA,NA
IP-51,42,50,Sand,NA,NA
IP-48,0,4,Clay,NA,NA
IP-48,4,12,Sand,NA,NA
IP-48,12,20,Clayey Sand,NA,NA
